PSRAID,COUNTRY,Q145,Q146,Q70,Q74
106452,France,Female,60,Yes,Yes
106453,France,Female,79,No, 
106454,France,Male,75,No, 
106455,France,Male,57,Yes,No
106456,France,Female,62,Yes,Yes
106457,France,Female,72,Yes,No
106458,France,Female,54,No, 
106459,France,Female,60,Yes,No
106460,France,Male,62,Yes,Yes
106461,France,Female,72,Yes,Yes
106462,France,Male,62,Yes,Yes
106463,France,Male,48,No, 
106464,France,Female,75,No, 
106465,France,Female,70,Yes,Yes
106466,France,Female,83,No, 
106467,France,Female,64,Yes,No
106468,France,Female,55,Yes,Yes
106469,France,Female,87,No, 
106470,France,Female,59,Yes,Yes
106471,France,Female,40,Yes,No
106472,France,Male,21,Yes,Yes
106473,France,Male,62,No, 
106474,France,Male,31,Yes,No
106475,France,Female,29,Yes,Yes
106476,France,Male,26,Yes,Yes
106477,France,Female,39,Yes,No
106478,France,Female,42,Yes,Yes
106479,France,Male,55,Yes,Yes
106480,France,Female,29,Yes,No
106481,France,Female,22,Yes,Yes
106482,France,Male,39,Yes,No
106483,France,Female,63,Yes,No
106484,France,Male,25,Yes,Yes
106485,France,Male,27,Yes,Yes
106486,France,Female,55,No, 
106487,France,Male,26,Yes,No
106488,France,Male,39,Yes,Yes
106489,France,Female,20,Yes,Yes
106490,France,Female,54,Yes,No
106491,France,Female,44,Yes,Yes
106492,France,Male,34,Yes,No
106493,France,Male,32,Yes,Yes
106494,France,Female,22,Yes,No
106495,France,Female,22,Yes,Yes
106496,France,Male,64,Yes,No
106497,France,Male,34,Yes,No
106498,France,Male,47,Yes,Yes
106499,France,Male,46,Yes,Yes
106500,France,Female,24,Yes,Yes
106501,France,Male,28,Yes,Yes
106502,France,Female,54,No,No
106503,France,Male,29,Yes,No
106504,France,Male,37,Yes,No
106505,France,Female,26,Yes,Yes
106506,France,Female,61,Yes,No
106507,France,Male,25,Yes,No
106508,France,Female,22,Yes,Yes
106509,France,Female,28,Yes,Yes
106510,France,Male,37,Yes,Yes
106511,France,Female,46,Yes,Yes
106512,France,Female,24,Yes,Yes
106513,France,Male,56,Yes,Yes
106514,France,Female,48,Yes,No
106515,France,Female,31,Yes,Yes
106516,France,Male,30,Yes,Yes
106517,France,Female,29,No,Yes
106518,France,Female,25,Yes,Yes
106519,France,Male,33,Yes,No
106520,France,Female,22,Yes,Yes
106521,France,Female,18,Yes,Yes
106522,France,Female,58,Yes,Yes
106523,France,Male,30,Yes,Yes
106524,France,Female,41,Yes,Yes
106525,France,Female,58,Yes,No
106526,France,Female,52,Yes,Yes
106527,France,Female,53,Yes,Yes
106528,France,Female,46,Yes,Yes
106529,France,Female,64,No, 
106530,France,Male,22,Yes,Yes
106531,France,Male,62,Yes,No
106532,France,Male,20,Yes,Yes
106533,France,Female,28,Yes,Yes
106534,France,Female,24,Yes,Yes
106535,France,Female,31,Yes,Yes
106536,France,Male,58,Yes,Yes
106537,France,Male,57,Yes,No
106538,France,Female,35,Yes,No
106539,France,Female,59,Yes,No
106540,France,Male,23,Yes,Yes
106541,France,Male,28,Yes,No
106542,France,Male,52,Yes,No
106543,France,Female,64,Yes,No
106544,France,Male,21,Yes,Yes
106545,France,Male,44,Yes,Yes
106546,France,Male,63,Yes,No
106547,France,Female,56,Yes,No
106548,France,Female,49,Yes,Yes
106549,France,Male,59,Yes,Yes
106550,France,Female,18,Yes,Yes
106551,France,Female,35,Yes,Yes
106552,France,Male,61,Yes,Yes
106553,France,Male,45,Yes,No
106554,France,Female,58,Yes,Yes
106555,France,Male,62,No, 
106556,France,Female,27,Yes,Yes
106557,France,Female,26,Yes,Yes
106558,France,Male,29,Yes,Yes
106559,France,Female,21,Yes,Yes
106560,France,Male,49,Yes,No
106561,France,Female,60,Yes,Yes
106562,France,Female,26,Yes,Yes
106563,France,Male,19,Yes,Yes
106564,France,Male,54,Yes,No
106565,France,Male,27,Yes,Yes
106566,France,Male,35,Yes,No
106567,France,Female,59,No, 
106568,France,Female,29,Yes,Yes
106569,France,Female,27,Yes,Yes
106570,France,Female,22,Yes,Yes
106571,France,Male,63,Yes,No
106572,France,Female,25,Yes,No
106573,France,Male,23,Yes,Yes
106574,France,Male,26,Yes,Yes
106575,France,Male,28,Yes,Yes
106576,France,Female,28,Yes,Yes
106577,France,Female,28,Yes,Yes
106578,France,Male,54,Yes,No
106579,France,Male,29,Yes,Yes
106580,France,Male,39,Yes,Yes
106581,France,Female,76,Yes,No
106582,France,Male,60,Yes,No
106583,France,Male,23,Yes,No
106584,France,Male,28,Yes,Yes
106585,France,Male,28,Yes,Yes
106586,France,Female,34,Yes,Yes
106587,France,Female,30,Yes,Yes
106588,France,Male,38,Yes,Yes
106589,France,Female,25,Yes,Yes
106590,France,Female,34,Yes,Yes
106591,France,Male,61,Yes,No
106592,France,Male,35,Yes,No
106593,France,Female,45,Yes,Yes
106594,France,Female,22,Yes,Yes
106595,France,Male,21,Yes,Yes
106596,France,Female,54,Yes,No
106597,France,Female,24,Yes,Yes
106598,France,Female,53,Yes,Yes
106599,France,Female,32,Yes,Yes
106600,France,Male,20,Yes,Yes
106601,France,Female,39,Yes,No
106602,France,Female,57,Yes,No
106603,France,Male,21,Yes,Yes
106604,France,Male,54,Yes,No
106605,France,Male,53,Yes,No
106606,France,Female,21,Yes,Yes
106607,France,Male,70,Yes,Yes
106608,France,Female,56,Yes,No
106609,France,Male,73,Yes,No
106610,France,Female,51,Yes,No
106611,France,Female,50,Yes,No
106612,France,Male,41,Yes,Yes
106613,France,Male,33,Yes,Yes
106614,France,Male,70,Yes,No
106615,France,Male,68,Yes,No
106616,France,Male,68,Yes,No
106617,France,Female,44,Yes,No
106618,France,Female,78,Yes,No
106619,France,Female,44,No, 
106620,France,Male,63,Yes,Yes
106621,France,Female,21,Yes,Yes
106622,France,Female,62,No, 
106623,France,Female,65,No, 
106624,France,Female,70,Yes,No
106625,France,Female,63,Yes,No
106626,France,Male,56,Yes,No
106627,France,Female,53,Yes,No
106628,France,Male,19,Yes,Yes
106629,France,Female,45,Yes,Yes
106630,France,Female,52,No, 
106631,France,Male,45,Yes,No
106632,France,Male,58,Yes,No
106633,France,Male,35,Yes,Yes
106634,France,Male,19,Yes,Yes
106635,France,Female,65,No,No
106636,France,Female,53,Yes,No
106637,France,Male,54,No, 
106638,France,Male,46,Yes,No
106639,France,Male,57,Yes,Yes
106640,France,Female,74,Yes,No
106641,France,Female,50,Yes,Yes
106642,France,Male,45,No, 
106643,France,Male,58,No, 
106644,France,Female,45,Yes,No
106645,France,Female,49,Yes,No
106646,France,Female,30,Yes,Yes
106647,France,Female,49,Yes,No
106648,France,Female,50,Yes,No
106649,France,Male,42,Yes,Yes
106650,France,Male,62,Yes,No
106651,France,Male,33,Yes,Yes
106652,France,Female,56,Yes,Yes
106653,France,Male,18,Yes,Yes
106654,France,Male,21,Yes,Yes
106655,France,Female,29,Yes,No
106656,France,Male,27,Yes,Yes
106657,France,Female,30,Yes,Yes
106658,France,Female,31,Yes,No
106659,France,Female,47,Yes,No
106660,France,Female,27,Yes,Yes
106661,France,Female,32,Yes,Yes
106662,France,Female,51,Yes,No
106663,France,Female,31,Yes,Yes
106664,France,Male,45,Yes,Yes
106665,France,Male,61,Yes,No
106666,France,Male,22,Yes,Yes
106667,France,Male,20,Yes,Yes
106668,France,Female,23,Yes,Yes
106669,France,Female,24,Yes,Yes
106670,France,Male,27,Yes,Yes
106671,France,Female,26,Yes,Yes
106672,France,Male,45,Yes,No
106673,France,Male,37,Yes,Yes
106674,France,Male,51,Yes,No
106675,France,Female,27,Yes,Yes
106676,France,Female,43,Yes,Yes
106677,France,Male,22,Yes,Yes
106678,France,Male,23,Yes,Yes
106679,France,Male,30,Yes,Yes
106680,France,Female,18,Yes,Yes
106681,France,Female,42,Yes,Yes
106682,France,Female,19,Yes,Yes
106683,France,Female,48,Yes,Yes
106684,France,Male,39,Yes,No
106685,France,Female,31,Yes,Yes
106686,France,Male,33,Yes,No
106687,France,Male,30,Yes,No
106688,France,Female,56,Yes,No
106689,France,Male,55,Yes,No
106690,France,Female,43,Yes,No
106691,France,Female,42,Yes,No
106692,France,Male,52,Yes,Yes
106693,France,Male,43,Yes,Yes
106694,France,Male,59,Yes,No
106695,France,Female,32,Yes,Yes
106696,France,Male,53,Yes,Yes
106697,France,Female,52,Yes,Yes
106698,France,Male,56,Yes,Yes
106699,France,Male,45,Yes,Yes
106700,France,Male,34,Yes,Yes
106701,France,Female,32,Yes,Yes
106702,France,Male,34,Yes,No
106703,France,Male,20,Yes,Yes
106704,France,Male,27,No,No
106705,France,Female,28,Yes,Yes
106706,France,Male,47,Yes,Yes
106707,France,Male,28,Yes,Yes
106708,France,Male,50,Yes,No
106709,France,Female,38,Yes,Yes
106710,France,Female,49,Yes,Yes
106711,France,Male,57,Yes,No
106712,France,Male,25,Yes,Yes
106713,France,Male,41,Yes,Yes
106714,France,Female,25,Yes,Yes
106715,France,Female,53,Yes,No
106716,France,Male,31,Yes,Yes
106717,France,Male,19,Yes,Yes
106718,France,Male,32,Yes,No
106719,France,Male,40,No, 
106720,France,Female,37,Yes,No
106721,France,Male,57,Yes,No
106722,France,Female,45,Yes,Yes
106723,France,Female,19,Yes,Yes
106724,France,Female,45,Yes,Yes
106725,France,Male,61,Yes,No
106726,France,Male,27,No, 
106727,France,Female,45,Yes,Yes
106728,France,Female,43,Yes,Yes
106729,France,Female,48,Yes,Yes
106730,France,Male,27,Yes,Yes
106731,France,Male,49,Yes,No
106732,France,Male,45,Yes,No
106733,France,Male,33,Yes,No
106734,France,Male,36,Yes,Yes
106735,France,Female,22,Yes,Yes
106736,France,Female,46,Yes,Yes
106737,France,Male,32,Yes,No
106738,France,Female,35,Yes,Yes
106739,France,Male,31,Yes,Yes
106740,France,Female,23,Yes,Yes
106741,France,Female,29,Yes,Yes
106742,France,Male,51,Yes,No
106743,France,Male,Refused,Yes,No
106744,France,Male,21,Yes,Yes
106745,France,Male,45,No, 
106746,France,Female,26,Yes,Yes
106747,France,Female,29,Yes,Yes
106748,France,Female,20,Yes,Yes
106749,France,Female,34,Yes,Yes
106750,France,Male,25,Yes,Yes
106751,France,Male,27,Yes,Yes
106752,France,Female,32,Yes,No
106753,France,Male,23,Yes,Yes
106754,France,Female,32,Yes,Yes
106755,France,Female,46,Yes,Yes
106756,France,Female,20,Yes,No
106757,France,Female,56,Yes,Yes
106758,France,Female,23,Yes,Yes
106759,France,Female,52,Yes,No
106760,France,Male,44,Yes,No
106761,France,Female,49,Yes,No
106762,France,Female,47,No, 
106763,France,Male,49,Yes,Yes
106764,France,Female,45,Yes,No
106765,France,Female,50,Yes,No
106766,France,Female,21,Yes,Yes
106767,France,Male,41,Yes,Yes
106768,France,Male,56,Yes,No
106769,France,Female,52,Yes,Yes
106770,France,Male,23,Yes,Yes
106771,France,Female,43,Yes,No
106772,France,Female,30,Yes,Yes
106773,France,Male,44,No, 
106774,France,Male,19,Yes,No
106775,France,Male,21,Yes,Yes
106776,France,Female,40,Yes,Yes
106777,France,Female,47,Yes,No
106778,France,Male,49,Yes,No
106779,France,Female,50,Yes,Yes
106780,France,Male,42,Yes,Yes
106781,France,Female,51,Yes,No
106782,France,Female,50,Yes,No
106783,France,Male,52,Yes,No
106784,France,Female,45,Yes,No
106785,France,Female,42,Yes,No
106786,France,Male,45,Yes,No
106787,France,Female,56,Yes,No
106788,France,Female,53,Yes,No
106789,France,Male,48,Yes,No
106790,France,Female,49,Yes,No
106791,France,Male,64,Yes,No
106792,France,Female,50,No,Yes
106793,France,Female,36,No, 
106794,France,Female,43,Yes,No
106795,France,Male,46,Yes,No
106796,France,Male,52,Yes,Yes
106797,France,Female,37,Yes,Yes
106798,France,Male,42,Yes,No
106799,France,Female,25,Yes,Yes
106800,France,Male,47,No,No
106801,France,Female,60,No, 
106802,France,Male,40,Yes,No
106803,France,Male,49,Yes,No
106804,France,Male,54,Yes,No
106805,France,Male,61,Yes,No
106806,France,Female,55,Yes,Yes
106807,France,Female,40,Yes,Yes
106808,France,Female,22,Yes,Yes
106809,France,Female,40,Yes,Yes
106810,France,Female,47,Yes,Yes
106811,France,Female,28,Yes,Yes
106812,France,Female,50,Yes,Yes
106813,France,Female,30,Yes,No
106814,France,Female,47,Yes,No
106815,France,Male,30,Yes,Yes
106816,France,Female,39,Yes,Yes
106817,France,Male,52,Yes,Yes
106818,France,Male,29,Yes,Yes
106819,France,Female,40,Yes,Yes
106820,France,Female,43,Yes,Yes
106821,France,Male,45,Yes,No
106822,France,Male,39,Yes,No
106823,France,Male,21,Yes,Yes
106824,France,Male,41,Yes,No
106825,France,Male,42,Yes,No
106826,France,Male,28,Yes,Yes
106827,France,Male,28,Yes,Yes
106828,France,Female,40,Yes,Yes
106829,France,Female,23,Yes,Yes
106830,France,Female,47,Yes,No
106831,France,Male,19,Yes,No
106832,France,Male,38,Yes,Yes
106833,France,Female,32,Yes,Yes
106834,France,Male,25,Yes,Yes
106835,France,Female,19,Yes,Yes
106836,France,Female,26,Yes,No
106837,France,Female,48,Yes,No
106838,France,Male,46,Yes,Yes
106839,France,Female,24,Yes,Yes
106840,France,Female,43,Yes,Yes
106841,France,Male,44,Yes,No
106842,France,Female,49,Yes,No
106843,France,Male,43,Yes,No
106844,France,Female,48,Yes,Yes
106845,France,Male,42,Yes,No
106846,France,Male,21,Yes,Yes
106847,France,Female,40,Yes,Yes
106848,France,Male,41,Yes,Yes
106849,France,Female,34,Yes,No
106850,France,Female,55,Yes,No
106851,France,Male,47,No, 
106852,France,Female,38,Yes,Yes
106853,France,Male,42,Yes,Yes
106854,France,Female,45,Yes,Yes
106855,France,Female,18,Yes,Yes
106856,France,Male,20,Yes,Yes
106857,France,Male,49,Yes,Yes
106858,France,Female,18,Yes,Yes
106859,France,Female,19,Yes,Yes
106860,France,Male,32,Yes,Yes
106861,France,Male,36,Yes,No
106862,France,Male,32,Yes,Yes
106863,France,Male,18,Yes,Yes
106864,France,Male,49,Yes,Yes
106865,France,Male,47,Yes,No
106866,France,Male,35,Yes,Yes
106867,France,Female,36,Yes,Yes
106868,France,Male,52,Yes,Yes
106869,France,Male,43,Yes,No
106870,France,Male,47,Yes,Yes
106871,France,Female,38,Yes,Yes
106872,France,Male,54,Yes,Yes
106873,France,Female,37,Yes,Yes
106874,France,Male,45,Yes,Yes
106875,France,Male,21,Yes,Yes
106876,France,Female,55,Yes,Yes
106877,France,Male,35,Yes,Yes
106878,France,Male,35,Yes,No
106879,France,Male,41,Yes,No
106880,France,Female,42,Yes,Yes
106881,France,Male,45,Yes,Yes
106882,France,Male,24,Yes,Yes
106883,France,Female,49,Yes,Yes
106884,France,Female,44,Yes,Yes
106885,France,Female,47,Yes,Yes
106886,France,Female,35,Yes,Yes
106887,France,Male,44,Yes,No
106888,France,Female,27,Yes,Yes
106889,France,Female,22,Yes,Yes
106890,France,Male,26,Yes,Yes
106891,France,Male,51,Yes,No
106892,France,Female,45,Yes,Yes
106893,France,Female,39,Yes,Yes
106894,France,Female,50,Yes,No
106895,France,Female,33,Yes,Yes
106896,France,Male,45,Yes,Yes
106897,France,Female,18,Yes,Yes
106898,France,Male,33,Yes,Yes
106899,France,Female,19,Yes,Yes
106900,France,Male,46,Yes,No
106901,France,Male,32,Yes,No
106902,France,Male,18,Yes,Yes
106903,France,Female,30,Yes,Yes
106904,France,Female,53,Yes,No
106905,France,Male,50,Yes,No
106906,France,Male,40,Yes,No
106907,France,Male,23,Yes,Yes
106908,France,Male,33,Yes,Yes
106909,France,Male,35,Yes,No
106910,France,Male,37,Yes,Yes
106911,France,Female,35,Yes,Yes
106912,France,Male,50,Yes,No
106913,France,Male,39,Yes,Yes
106914,France,Male,54,Yes,No
106915,France,Female,47,Yes,Yes
106916,France,Female,20,Yes,Yes
106917,France,Male,50,Yes,Yes
106918,France,Female,49,Yes,No
106919,France,Male,42,Yes,No
106920,France,Male,46,Yes,Yes
106921,France,Male,36,Yes,Yes
106922,France,Female,61,No, 
106923,France,Male,32,Yes,Yes
106924,France,Male,51,No,No
106925,France,Male,19,Yes,Yes
106926,France,Male,50,Yes,Yes
106927,France,Male,51,Yes,Yes
106928,France,Female,40,Yes,No
106929,France,Female,53,Yes,Yes
106930,France,Male,51,Yes,No
106931,France,Female,19,Yes,Yes
106932,France,Male,41,Yes,No
106933,France,Male,49,Yes,No
106934,France,Male,45,No, 
106935,France,Female,55,Yes,No
106936,France,Female,45,Yes,No
106937,France,Female,45,No, 
106938,France,Male,48,Yes,No
106939,France,Female,18,Yes,Yes
106940,France,Male,48,Yes,No
106941,France,Female,39,Yes,Yes
106942,France,Female,47,Yes,Yes
106943,France,Female,52,Yes,Yes
106944,France,Female,47,Yes,Yes
106945,France,Male,46,Yes,No
106946,France,Female,45,Yes,Yes
106947,France,Male,19,Yes,Yes
106948,France,Female,45,Yes,No
106949,France,Male,20,Yes,Yes
106950,France,Male,32,Yes,Yes
106951,France,Male,39,Yes,No
106952,France,Female,36,Yes,No
106953,France,Female,54,Yes,Yes
106954,France,Male,57,Yes,Yes
106955,France,Male,36,Yes,No
106956,France,Female,50,Yes,Yes
106957,France,Female,40,Yes,Yes
106958,France,Male,34,Yes,Yes
106959,France,Male,54,Yes,No
106960,France,Male,35,Yes,No
106961,France,Male,51,Yes,Yes
106962,France,Female,41,Yes,No
106963,France,Female,41,Yes,Yes
106964,France,Female,46,Yes,Yes
106965,France,Male,43,Yes,Yes
106966,France,Female,26,Yes,Yes
106967,France,Female,47,Yes,Yes
106968,France,Male,45,Yes,No
106969,France,Female,24,Yes,No
106970,France,Female,47,Yes,No
106971,France,Female,46,Yes,Yes
106972,France,Female,41,Yes,Yes
106973,France,Male,20,No,Yes
106974,France,Female,19,Yes,Yes
106975,France,Male,38,Yes,No
106976,France,Female,22,Yes,Yes
106977,France,Male,27,No, 
106978,France,Male,33,Yes,No
106979,France,Male,40,Yes,Yes
106980,France,Male,46,Yes,Yes
106981,France,Female,42,Yes,No
106982,France,Female,44,Yes,Yes
106983,France,Female,57,Yes,Yes
106984,France,Female,40,No, 
106985,France,Male,39,Yes,Yes
106986,France,Female,39,Yes,Yes
106987,France,Male,35,Yes,Yes
106988,France,Female,26,No, 
106989,France,Male,27,No,Yes
106990,France,Male,45,Yes,Yes
106991,France,Female,36,Yes,No
106992,France,Female,23,Yes,Yes
106993,France,Female,27,Yes,Yes
106994,France,Female,34,Yes,Yes
106995,France,Female,18,Yes,No
106996,France,Female,32,Yes,Yes
106997,France,Female,22,Yes,Yes
106998,France,Female,35,Yes,Yes
106999,France,Male,22,Yes,No
107000,France,Male,49,No, 
107001,France,Male,63,Yes,No
107002,France,Male,30,Yes,Yes
107003,France,Male,45,Yes,Yes
107004,France,Male,43,Yes,Yes
107005,France,Female,51,No, 
107006,France,Female,87,No, 
107007,France,Male,62,Yes,No
107008,Mexico,Male,28,Yes,Yes
107009,Mexico,Male,18,Yes,Yes
107010,Mexico,Male,24,Yes,Yes
107011,Mexico,Male,22,Yes,Yes
107012,Mexico,Male,29,Yes,Yes
107013,Mexico,Male,29,Yes,Yes
107014,Mexico,Male,28,Yes,Yes
107015,Mexico,Male,24,Yes,Yes
107016,Mexico,Male,25,Yes,Yes
107017,Mexico,Male,21,Yes,Yes
107018,Mexico,Male,22,Yes,Yes
107019,Mexico,Male,23,Yes,No
107020,Mexico,Male,18,No, 
107021,Mexico,Male,29,Yes,Yes
107022,Mexico,Male,21,Yes,Yes
107023,Mexico,Male,29,Yes,Refused
107024,Mexico,Male,23,Yes,Yes
107025,Mexico,Male,28,Yes,Yes
107026,Mexico,Male,18,Yes,Yes
107027,Mexico,Male,29,Yes,Yes
107028,Mexico,Male,20,Yes,Yes
107029,Mexico,Male,21,Yes,Yes
107030,Mexico,Male,25,Yes,Yes
107031,Mexico,Male,25,Yes,Yes
107032,Mexico,Male,23,Yes,Yes
107033,Mexico,Male,20,Yes,Yes
107034,Mexico,Female,24,Yes,No
107035,Mexico,Female,29,No, 
107036,Mexico,Female,20,Yes,Yes
107037,Mexico,Female,22,Yes,Yes
107038,Mexico,Female,23,Yes,Yes
107039,Mexico,Female,27,Yes,Yes
107040,Mexico,Female,23,No, 
107041,Mexico,Female,22,Yes,Yes
107042,Mexico,Female,20,Yes,Yes
107043,Mexico,Female,23,Yes,Yes
107044,Mexico,Female,26,Yes,Yes
107045,Mexico,Female,29,No,Yes
107046,Mexico,Female,22,Yes,Yes
107047,Mexico,Female,20,Yes,Yes
107048,Mexico,Female,21,Yes,Yes
107049,Mexico,Female,27,Yes,No
107050,Mexico,Female,24,Yes,Yes
107051,Mexico,Female,25,Yes,Yes
107052,Mexico,Female,19,Yes,Yes
107053,Mexico,Female,21,Yes,Yes
107054,Mexico,Female,28,Yes,Yes
107055,Mexico,Female,28,Yes,Yes
107056,Mexico,Female,25,Yes,Yes
107057,Mexico,Female,25,Yes,Yes
107058,Mexico,Female,24,No, 
107059,Mexico,Female,19,Yes,Yes
107060,Mexico,Female,26,No, 
107061,Mexico,Female,24,Yes,Yes
107062,Mexico,Female,19,Yes,Yes
107063,Mexico,Female,23,No, 
107064,Mexico,Female,23,Yes,Yes
107065,Mexico,Female,28,Yes,Yes
107066,Mexico,Female,28,Yes,Yes
107067,Mexico,Female,23,Yes,Yes
107068,Mexico,Male,36,No, 
107069,Mexico,Male,36,No, 
107070,Mexico,Male,32,Yes,Yes
107071,Mexico,Male,34,Yes,Yes
107072,Mexico,Male,38,Yes,Yes
107073,Mexico,Male,39,Yes,Yes
107074,Mexico,Male,36,Yes,Yes
107075,Mexico,Male,34,Yes,Yes
107076,Mexico,Male,32,Yes,Yes
107077,Mexico,Male,33,Yes,Yes
107078,Mexico,Male,30,Yes,Yes
107079,Mexico,Male,31,Yes,Yes
107080,Mexico,Male,32,Yes,Yes
107081,Mexico,Male,33,Yes,Yes
107082,Mexico,Male,30,No, 
107083,Mexico,Male,37,Yes,Yes
107084,Mexico,Male,35,Yes,Yes
107085,Mexico,Male,30,Yes,Yes
107086,Mexico,Male,36,No, 
107087,Mexico,Male,33,No, 
107088,Mexico,Male,32,Yes,Yes
107089,Mexico,Male,38,Yes,Yes
107090,Mexico,Male,34,Yes,Yes
107091,Mexico,Female,30,Yes,Yes
107092,Mexico,Female,32,No, 
107093,Mexico,Female,37,Yes,No
107094,Mexico,Female,32,Yes,Yes
107095,Mexico,Female,36,Yes,Yes
107096,Mexico,Female,33,Yes,Yes
107097,Mexico,Female,31,Yes,Yes
107098,Mexico,Female,32,Yes,Yes
107099,Mexico,Female,37,Yes,Yes
107100,Mexico,Female,33,No, 
107101,Mexico,Female,32,No, 
107102,Mexico,Female,36,Yes,Yes
107103,Mexico,Female,33,Yes,Yes
107104,Mexico,Female,31,Yes,Yes
107105,Mexico,Female,38,Yes,Yes
107106,Mexico,Female,30,Yes,Yes
107107,Mexico,Female,31,Yes,Yes
107108,Mexico,Female,36,No, 
107109,Mexico,Female,38,Yes,Yes
107110,Mexico,Female,30,Yes,Yes
107111,Mexico,Female,33,No, 
107112,Mexico,Female,38,Yes,Yes
107113,Mexico,Female,33,Yes,Yes
107114,Mexico,Female,37,Yes,Refused
107115,Mexico,Male,49,Yes,Yes
107116,Mexico,Male,42,Yes,Yes
107117,Mexico,Male,41,Yes,Yes
107118,Mexico,Male,42,Yes,Yes
107119,Mexico,Male,42,Yes,Yes
107120,Mexico,Male,47,Yes,Yes
107121,Mexico,Male,46,Yes,Yes
107122,Mexico,Male,45,Yes,Yes
107123,Mexico,Male,44,Yes,Yes
107124,Mexico,Male,41,Yes,Yes
107125,Mexico,Male,42,Yes,Yes
107126,Mexico,Male,45,Yes,Yes
107127,Mexico,Male,42,No, 
107128,Mexico,Male,43,No, 
107129,Mexico,Female,49,No, 
107130,Mexico,Female,42,Yes,Yes
107131,Mexico,Female,49,Yes,Yes
107132,Mexico,Female,49,Yes,Yes
107133,Mexico,Female,42,Yes,Yes
107134,Mexico,Female,42,Yes,Yes
107135,Mexico,Female,40,Yes,Yes
107136,Mexico,Female,41,Yes,Yes
107137,Mexico,Female,42,Yes,Yes
107138,Mexico,Female,45,Yes,Yes
107139,Mexico,Female,44,Yes,No
107140,Mexico,Female,45,Yes,Yes
107141,Mexico,Female,43,No,No
107142,Mexico,Female,42,No, 
107143,Mexico,Female,47,Yes,Yes
107144,Mexico,Female,49,Yes,Yes
107145,Mexico,Female,43,Yes,Yes
107146,Mexico,Female,41,No, 
107147,Mexico,Female,43,No, 
107148,Mexico,Male,52,No, 
107149,Mexico,Male,50,No, 
107150,Mexico,Male,52,Yes,Yes
107151,Mexico,Male,54,No, 
107152,Mexico,Male,50,No, 
107153,Mexico,Male,51,Yes,Yes
107154,Mexico,Male,51,No, 
107155,Mexico,Male,50,Yes,Yes
107156,Mexico,Male,50,Yes,No
107157,Mexico,Male,53,Yes,Yes
107158,Mexico,Male,58,Yes,No
107159,Mexico,Male,58,No, 
107160,Mexico,Male,52,No, 
107161,Mexico,Female,53,No, 
107162,Mexico,Female,56,No, 
107163,Mexico,Female,58,No,No
107164,Mexico,Female,51,No, 
107165,Mexico,Female,52,No, 
107166,Mexico,Female,52,No, 
107167,Mexico,Female,55,No, 
107168,Mexico,Female,54,Yes,Yes
107169,Mexico,Female,54,No, 
107170,Mexico,Female,52,No, 
107171,Mexico,Female,59,Yes,Yes
107172,Mexico,Female,59,Yes,Yes
107173,Mexico,Female,50,No, 
107174,Mexico,Female,53,No, 
107175,Mexico,Male,62,No, 
107176,Mexico,Male,62,No, 
107177,Mexico,Male,62,No, 
107178,Mexico,Male,61,No, 
107179,Mexico,Male,79,No, 
107180,Mexico,Male,82,No, 
107181,Mexico,Male,62,No, 
107182,Mexico,Male,84,No, 
107183,Mexico,Male,63,Yes,No
107184,Mexico,Male,72,No, 
107185,Mexico,Male,63,No, 
107186,Mexico,Male,62,No, 
107187,Mexico,Male,80,Yes,Yes
107188,Mexico,Male,71,No, 
107189,Mexico,Male,62,No, 
107190,Mexico,Male,60,Yes,Yes
107191,Mexico,Male,68,No, 
107192,Mexico,Female,62,No, 
107193,Mexico,Female,63,No, 
107194,Mexico,Female,60,No, 
107195,Mexico,Female,62,No, 
107196,Mexico,Female,60,No, 
107197,Mexico,Female,63,No, 
107198,Mexico,Female,79,No, 
107199,Mexico,Female,72,Yes,No
107200,Mexico,Female,69,Yes,No
107201,Mexico,Female,67,No, 
107202,Mexico,Female,72,No, 
107203,Mexico,Female,71,No, 
107204,Mexico,Female,85,No, 
107205,Mexico,Female,73,No, 
107206,Mexico,Female,61,Yes,No
107207,Mexico,Female,65,No, 
107208,Mexico,Male,18,Yes,Yes
107209,Mexico,Male,18,Yes,Yes
107210,Mexico,Male,18,Yes,Yes
107211,Mexico,Male,18,Yes,Yes
107212,Mexico,Male,18,Yes,Yes
107213,Mexico,Male,18,Yes,Yes
107214,Mexico,Male,21,Yes,Yes
107215,Mexico,Male,23,Yes,Yes
107216,Mexico,Male,27,Yes,Yes
107217,Mexico,Male,28,Yes,Yes
107218,Mexico,Male,19,Yes,Yes
107219,Mexico,Male,28,No, 
107220,Mexico,Male,19,Yes,Yes
107221,Mexico,Male,21,Yes,Yes
107222,Mexico,Male,28,Yes,Yes
107223,Mexico,Male,28,Yes,Yes
107224,Mexico,Male,23,Yes,Yes
107225,Mexico,Male,24,Yes,Yes
107226,Mexico,Male,20,Yes,Yes
107227,Mexico,Male,22,No, 
107228,Mexico,Male,29,Yes,Yes
107229,Mexico,Male,29,No, 
107230,Mexico,Male,28,No, 
107231,Mexico,Male,22,Yes,Yes
107232,Mexico,Male,21,No, 
107233,Mexico,Male,27,No, 
107234,Mexico,Male,18,Yes,Yes
107235,Mexico,Male,25,Yes,Yes
107236,Mexico,Male,23,Yes,Yes
107237,Mexico,Female,21,Yes,Yes
